Exhibit,Place,ExhibitType,Iscrowded,AttractsQueue,Queued,TourGroup,Alone,Adult,Teenager,Child,Family,NumberOfPeople,Sex,Age,Discussion,Teaching,PhotoTaking,HeadphoneGuide,GuidedTour,ExhibitLength,TimeAtExhibit,Engagement,RelevanceToContents,QualityOfExhibit
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,5,4,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,4,1,24,1,0,0,0,0,5,1,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,4,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,0.5,1,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,1,1,2,0,54,1,1,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,1,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,1,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,5,1,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,0,44,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,0,1,0,0,2,0,17,1,0,0,0,0,5,2,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,0,1,0,0,1,1,17,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,0.5,0,5,3
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,1,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,0.5,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,10,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,1,0,1,2,1,17,1,1,0,0,0,10,10,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,0,1,1,0,1,2,1,17,1,1,0,0,0,10,4,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,0,1,0,0,1,1,17,0,0,0,0,0,10,2,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,0,0,1,3,1,54,0,0,0,0,0,10,2,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,10,1,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,4,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,3,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,1,0,0,0,1,0,34,0,0,0,0,0,10,3,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,1,0,0,1,0,1,1,2,1,12,0,0,0,0,0,10,1,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,64,0,0,0,0,0,10,0.5,0,5,5
